40,5
0.411868,0.007884
0.612449,0.973970
0.225373,0.223196
0.841298,0.773938
0.493262,0.122192
0.984655,0.797465
0.070765,0.598069
0.957604,0.877896
0.256611,0.005240
0.636347,0.792170
0.162662,0.279677
0.873624,0.735382
0.323225,0.135048
0.795624,0.829316
0.280398,0.061559
0.911817,0.596807
0.354219,0.225972
0.989633,0.757225
0.289030,0.027064
0.580075,0.902686
0.206239,0.332787
0.818189,0.887504
0.123274,0.248295
0.807860,0.730374
0.357502,0.161577
0.875230,0.810515
0.189308,0.276961
0.832762,0.800174
0.345723,0.283638
0.954867,0.841160
0.313416,0.153830
0.761608,0.872304
0.171753,0.165081
0.750202,0.753298
0.031812,0.472185
0.967577,0.703087
0.081624,0.097238
0.656185,0.689345
0.242952,0.173909
0.741221,0.842306
0.546852,0.371280
0.511012,0.427731
0.552528,0.268114
0.505633,0.487486
0.540562,0.367141
